id,message,why_1,why_2,why_sub1,why_sub2,what1,what2,what_sub1,what_sub2,,,,,,,,,,,,,,,,,
87684," Fix property hint for stretch strink setting

Fixes #25184.",Dercribe Issue,Describe Objective,Describe error scenario,To fix defects,Trivial What,Summarize Code Object Change,Trivial What,Object of change,,,,,,,,,,,,,,,,,
265040," Merge pull request #16585 from peak3d/eglfix

[EGL Render] Fix accidentially changed egl config",Dercribe Objective,Trivial Why,To fix defects,Trivial Why,Trivial What,Trivial What,Trivial What,Trivial What,,,,,,,,,,,,,,,,,
202164," Add icu libraries to fuzzer dependencies

In component build, fuzzer did not link with icu libraries, causing
errors. By adding icu libraries to dependencies fuzzer links correctly.

BUG=
TEST=fuzzer/*

Review-Url: https://codereview.chromium.org/2510063002
Cr-Commit-Position: refs/heads/master@{#41098}",Describe Issue,Describe Issue,Describe error scenario,Describe error scenario,Summarize Code Object Change,Summarize Code Object Change,Characteristics of changes,Contrast before and after,,,,,,,,,,,,,,,,,
226843, [videodb] don't set the playcount to previously matched episode/season when adding new episodes if the new episode doesn't have a defined episode and season number. fixes,Describe Issue,Describe Issue,Describe error scenario,Describe error scenario,Trivial What,Summarize Code Object Change,Trivial What,Characteristics of changes,,,,,,,,,,,,,,,,,
148141," Fix crashes of some CPU profiler tests on Windows after r16284

All the tests that started crashing create ProfilerEventsProcessor on the stack. After r16284 SamplingCircularQueue buffer is allocated as a field of the queue instead of separate heap object. This increased self size of ProfilerEventsProcessor by about 1Mb. Windows malloc fails to allocate such an object on the stack and crashes.

BUG=
R=jkummerow@chromium.org

Review URL: https://codereview.chromium.org/23093022

git-svn-id: http://v8.googlecode.com/svn/branches/bleeding_edge@16287 ce2b1a6d-e550-0410-aec6-3dcde31c8c00",Describe Issue,Describe Issue,Describe error scenario,Describe error scenario,Trivial What,Summarize Code Object Change,Trivial What,Characteristics of changes,,,,,,,,,,,,,,,,,
233878," [Fix] Inlining wasnt setting scope correctly on the inlined body

Summary: The ast now has to keep track of its context. Inlining wasnt doing that.

Task ID: #

Blame Rev:

Reviewers: qixin, hzhao

CC:

Test Plan: slow_tests, build www-dev with inlining, flib/unit tests.

Revert Plan:

Tags:

- begin *PUBLIC* platform impact section -
Bugzilla: #
- end platform impact -

DiffCamp Revision: 177194",Describe Issue,Describe Issue,Describe shortcoming,Describe error scenario,Trivial What,Summarize Code Object Change,Trivial What,Contrast before and after,,,,,,,,,,,,,,,,,
156718,Applied changes from GH #1730 for get_next_sender_id. GH #1022 ,Describe Issue,Describe Issue,Introduce issue/PR reference,Introduce issue/PR reference,Summarize Code Object Change,Summarize Code Object Change,Object of change,Object of change,,,,,,,,,,,,,,,,,
174081,remove extra errors in loadDynamicLibrary; they just confuse ,Describe Issue,Imply Necessity,Describe shortcoming,Improvements and benefits,Summarize Code Object Change,Summarize Code Object Change,Object of change,Object of change,,,,,,,,,,,,,,,,,
175246,Merge pull request #2540 from karzhenkov/disrupt-cxx17-tests. Travis doesn't run any tests in C++17 mode,Describe Issue,Trivial Why,Describe shortcoming,Trivial Why,Trivial What,Trivial What,Trivial What,Trivial What,,,,,,,,,,,,,,,,,
28710," missed one, pass dts into decoders so they can decide which (dts or pts) to use.
git-svn-id: https://xbmc.svn.sourceforge.net/svnroot/xbmc/trunk@27458 568bbfeb-2a22-0410-94d2-cc84cf5bfa90",Describe Issue / Describe Objective,Illustrate Requirement,Describe shortcoming / To make improvements,Usage need,Illustrate Function,Illustrate Function,Illustrate Function,Illustrate Function,,,,,,,,,,,,,,,,,
266173,Fixes #34194 - tf.size() documentation,Describe Objective,Describe Issue,To fix defects,Introduce issue/PR reference,Summarize Code Object Change,Summarize Code Object Change,Object of change,Object of change,,,,,,,,,,,,,,,,,
172987,overworked cardreader for folder support; not finished yet. ,Describe Objective,Describe Issue,To make improvements,Describe shortcoming,Trivial What,Illustrate Function,Trivial What,Illustrate Function,,,,,,,,,,,,,,,,,
242433,Fix trt allocator and tensor name issues in convert_nodes.cc. ,Describe Objective,Describe Objective,To fix defects,To fix defects,Summarize Code Object Change,Summarize Code Object Change,Change list,Object of change,,,,,,,,,,,,,,,,,
157642,rosbag_to_record: fix header files included ,Describe Objective,Describe Objective,To fix defects,To fix defects,Summarize Code Object Change,Summarize Code Object Change,Object of change,Object of change,,,,,,,,,,,,,,,,,
251319," Issue with find and npos

Summary:
I dont know whats the expected behavior but for std::string it seems
to work.

@override-unit-failures

Test Plan:
unit-tests

[ RUN      ] FBString.findWithNpos
folly/test/FBStringTest.cpp:1147: Failure
Value of: fbstr.find("":"", fbstring::npos)
Actual: 9
Expected: fbstring::npos
Which is: 18446744073709551615

Reviewed By: andrei.alexandrescu@fb.com

FB internal diff: D1012870",Describe Objective,Describe Objective,To fix defects,To fix defects,Summarize Code Object Change,Summarize Code Object Change,Object of change,Object of change,,,,,,,,,,,,,,,,,
289447,cleos --print-request fixes after review #3849 ,Describe Objective,Describe Objective,To fix defects,To fix defects,Trivial What,Summarize Code Object Change,Trivial What,Object of change,,,,,,,,,,,,,,,,,
42596,"Bug fix/ui fix foxx configuration keys 3818 (#3993)

* ui: fixed broken foxx configuration keys. Some valid values could not be handled by the ui.

* changelog",Describe Objective,Describe Objective,To fix defects,To fix defects,Trivial What,Summarize Code Object Change,Trivial What,Object of change,,,,,,,,,,,,,,,,,
61134, Docker:fix pyproj install problem ,Describe Objective,Describe Objective,To fix defects,To fix defects,Trivial What,Summarize Code Object Change,Trivial What,Object of change,,,,,,,,,,,,,,,,,
